Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1132200  Y 1152300
X 1144947  Y 1150992
X 1129900  Y 1141400
X 1149900  Y 1139600
X 1130679  Y 1136436
X 1137938  Y 1128872
X 1139808  Y 1127906
X 1136265  Y 1127693
X 1138460  Y 1126215
X 1151210  Y 1125759
X 1136460  Y 1125693
X 1144810  Y 1120959
X 1139829  Y 1115991
X 1151892  Y 1115223
X 1144965  Y 1114592
X 1139844  Y 1113459
X 1145154  Y 1105354
X 1132955  Y 1102910
X 1151892  Y 1101080
X 1135600  Y 1098789
X 1145342  Y 1096116
X 1130679  Y 1094009
X 1151892  Y 1086938
X 1144965  Y 1086877
X 1130679  Y 1079867
X 1144871  Y 1079713
X 1152112  Y 1078224
X 1137750  Y 1058654
X 1130679  Y 1051583
X 1144821  Y 1051583
X 1137750  Y 1044512
X 1130679  Y 1037441
X 1151892  Y 1030370
X 1137750  Y 1030370
X 1144821  Y 1023299
X 1130679  Y 1023299
X 1137750  Y 1016228
X 1151892  Y 1016228
X 1130679  Y 1009157
X 1144821  Y 1009157
X 1173105  Y 1009157
X 1158963  Y 1009157
X 1166034  Y 1016228
X 1173105  Y 1023299
X 1158963  Y 1023299
X 1166034  Y 1030370
X 1173105  Y 1037441
X 1162900  Y 1044000
X 1166034  Y 1044512
X 1171200  Y 1045700
X 1175007  Y 1050300
X 1166034  Y 1058654
X 1173105  Y 1065725
X 1161600  Y 1071277
X 1166034  Y 1072796
X 1165699  Y 1078299
X 1176069  Y 1078299
X 1169810  Y 1083959
X 1177010  Y 1091159
X 1158963  Y 1094009
X 1166034  Y 1101080
X 1172324  Y 1101276
X 1158963  Y 1108151
X 1173105  Y 1108151
X 1166034  Y 1115223
X 1167010  Y 1121159
X 1174010  Y 1122159
X 1158963  Y 1122294
X 1154410  Y 1128959
X 1154900  Y 1139400
X 1172010  Y 1140159
X 1165610  Y 1140159
X 1168810  Y 1140159
X 1173697  Y 1154967
X 1169200  Y 1156400
X 1166500  Y 1156500
X 1164510  Y 1158659
X 1159510  Y 1158759
X 1161900  Y 1159000
X 1170882  Y 1162932
X 1165810  Y 1163759
X 1163110  Y 1163859
X 1159310  Y 1164659
X 1158249  Y 1166971
X 1169710  Y 1169859
X 1172110  Y 1169859
X 1167310  Y 1170159
X 1160015  Y 1172047
X 1164810  Y 1172159
X 1172810  Y 1176659
X 1170310  Y 1176859
X 1167810  Y 1176959
X 1162010  Y 1178159
X 1165900  Y 1182755
